Jogo;Pergunta Desafio;Modo
Amigos de Merda;O mais provavel de dar PT em uma festa;Normal
Amigos de Merda;Se fosse de desconvidar alguem da festa quem seria;Normal
decisoes de merda;Mandar mensagem para o(a) ex ou tomar 3 doses;Dificil
decisoes de merda;Plantar bananeira ou dançar por 2 min sem musica;Normal
decisoes de merda;Beijar a boca de um cachorro ou tomar 2 doses;Dificil
decisoes de merda;Colocar Gelo na cueca por 1 min ou 4 doses;Normal
decisoes de merda;Mandar mensagem pro ex Ou Beijar alguém da roda;Dificil
decisoes de merda;Ficar 40 segundos sem piscar  Ou  Tomar 2 doses;Normal
decisoes de merda;Ligar pra alguém e começar a cantar Ou Dançar “ Kuduro”;Normal
Desafio;Beijar alguém da roda;
Verdade ;Mandar mensagem pro ex;Dificil
Verdade;Você já nadou pelado na praia? ;Normal
verdade;Já Mandou nudes errado(explique);Normal
Verdade;Qual foi a coisa mais legal que vc já fez e nunca contou / ;Normal
Verdade;Qual a sua posição favorita;18
Desafio;Tirar uma peça de roupa;18
Desafio;tomar uma dose;Normal
Desafio;finalize todas as frase com Miau (uma dose pra cada erro);Dificil
Verdade;Qual foi a coisa mais embaraçosa que você já fez em público?;Normal
Verdade;Você já se apaixonou por alguém que não deveria? Quem?;Normal
Verdade;Qual é o maior segredo que você já guardou de seus amigos?;Normal
Verdade;Você já fingiu estar doente para não ir ao trabalho ou escola?;Normal
Verdade;Qual foi a pior mentira que você já contou?;Normal
decisoes de merda;Imite um animal por 1 minuto ou faça uma ligação para um amigo e cante uma música.;Normal
decisoes de merda;Faça uma declaração de amor para alguém na sala ou poste uma foto engraçada nas redes sociais;Normal
Verdade;Qual foi a coisa mais louca que você já fez por amor?;Normal
Verdade;Você já fingiu gostar de um presente que odiou? Qual foi?;Normal
Verdade;Qual foi a pior desculpa que você já deu para sair de uma situação?;Normal
Verdade;O que fez que seus pais não podem saber?;Normal
Verdade;Qual seu recorde sem utilizar celular/internet?;Normal
Verdade;Casaria com alguém que não ama por 1 milhão de reais?;Normal
Verdade;Já foi traído(a)?;Normal
Verdade;Se pudesse renascer como um animal, qual escolheria?;Normal
Desafio;Tente lamber o cotovelo de olhos fechados.;Normal
Desafio;Faça uma foto com sua careta mais estranha e publique na sua rede social.;Dificil
Desafio;Dance lambada com a pessoa do seu lado direito;Normal
Desafio;Curta a última foto do seu ex nas redes sociais;Dificil
Desafio;Dê uma volta na sala andando feito caranguejo.;Normal
Desafio;Dê o telefone na mão da pessoa à sua frente e deixe ela publicar alguma coisa nas suas redes sociais;Dificil
Desafio;Massageie os pés da pessoa ao lado Esquerdo;Normal
Desafio;Cante o refrão de uma música com a língua pra fora.;Normal
Desafio;Beba água de um potinho, como um cachorro.;Dificil
Desafio;Escolha alguém do grupo para ficar de mãos dadas até o final do jogo;Normal
Desafio;Tem alguém aqui que levaria para a cama agora?;Normal
decisoes de merda;Faça uma serenata para alguém na sala ou tome duas doses;Normal
decisoes de merda;Dance como se ninguém estivesse olhando por 1 minuto ou faça uma imitação de um famoso.;Normal
decisoes de merda;"Envie uma mensagem de texto para um número aleatório dizendo ""Eu te amo"" ou tome três doses.";Normal
decisoes de merda;Troque uma peça de roupa com alguém na sala ou poste uma foto embaraçosa nas redes sociais.;Dificil
Verdade;Iria à uma praia de nudismo?;Normal
Verdade;Você já roubou algo?;Normal
decisoes de merda;"Falar “três tigres tristes” por um minuto, o mais rápido possível, sem errar; ou 2 doses";Normal
Desafio;"Fazer o máximo de flexões que conseguir em 1 minuto;";Normal
decisoes de merda;"Dançar um brega-funk; ou 1 dose";Normal
